VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-07-24 19:40:56,2015-07-24 19:46:35,5,0.61,-73.9776611328125,40.746559143066406,1,N,-73.97463226318358,40.75300979614258,1,5.5,1.0,0.5,1.46,0.0,0.3,8.76
2,2015-07-28 22:59:42,2015-07-28 23:12:41,1,2.05,-73.97168731689453,40.762710571289055,1,N,-73.99114990234375,40.750442504882805,1,10.5,0.5,0.5,2.0,0.0,0.3,13.8
1,2015-07-23 08:05:26,2015-07-23 08:12:02,1,0.8,-73.99931335449217,40.74406433105469,1,N,-73.98766326904298,40.74142074584961,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
2,2015-07-19 03:05:47,2015-07-19 03:24:28,6,6.8,-74.00151824951173,40.74129104614258,1,N,-73.94628143310547,40.82799911499024,1,21.0,0.5,0.5,3.0,0.0,0.3,25.3
1,2015-07-27 18:32:29,2015-07-27 19:01:33,1,2.7,-73.97718811035155,40.754440307617195,1,N,-74.01029968261719,40.74676132202149,1,18.0,1.0,0.5,4.95,0.0,0.3,24.75
2,2015-07-10 20:21:31,2015-07-10 20:42:04,1,2.35,-73.98729705810547,40.7330322265625,1,N,-73.9833755493164,40.758338928222656,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
2,2015-07-11 19:23:11,2015-07-11 19:42:21,1,0.96,-73.98932647705078,40.75065612792969,1,N,-73.98619842529298,40.760650634765625,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
1,2015-07-18 01:22:21,2015-07-18 01:33:04,1,2.8,-73.97809600830078,40.76307678222656,1,N,-73.97367858886719,40.73784637451172,1,10.5,0.5,0.5,2.0,0.0,0.3,13.8
2,2015-07-29 22:28:03,2015-07-29 22:36:44,6,1.58,-73.98820495605469,40.7236328125,1,N,-73.97884368896483,40.74064254760742,1,8.0,0.5,0.5,2.32,0.0,0.3,11.62
1,2015-07-08 21:30:51,2015-07-08 21:43:32,1,2.1,-73.98975372314453,40.72554397583008,1,N,-73.9910430908203,40.75017929077149,1,10.0,0.5,0.5,2.8,0.0,0.3,14.1
1,2015-07-25 02:04:18,2015-07-25 02:13:01,1,1.7,-73.99913024902342,40.727851867675774,1,N,-73.99057006835938,40.740093231201165,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15
1,2015-07-06 12:14:27,2015-07-06 12:16:24,1,0.2,-73.9694061279297,40.7635498046875,1,N,-73.96659088134764,40.767276763916016,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
2,2015-07-16 15:25:47,2015-07-16 15:33:06,1,0.95,-73.99542236328125,40.739288330078125,1,N,-73.98690795898438,40.75086975097656,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
2,2015-07-21 11:32:02,2015-07-21 11:49:35,1,2.02,-73.99442291259764,40.75608825683594,1,N,-73.9911117553711,40.73495101928711,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
2,2015-07-20 08:16:41,2015-07-20 08:40:16,1,4.27,-73.9758529663086,40.75550842285156,1,N,-74.01423645019531,40.71394348144531,2,18.5,0.0,0.5,0.0,0.0,0.3,19.3
1,2015-07-13 11:34:36,2015-07-13 11:42:04,1,0.9,-73.9903564453125,40.75409698486328,1,N,-73.98751831054686,40.744285583496094,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75
2,2015-07-10 20:21:31,2015-07-10 20:53:44,2,5.45,-74.0012969970703,40.73651885986328,1,N,-73.99071502685547,40.6721305847168,1,22.5,0.5,0.5,3.0,0.0,0.3,26.8
2,2015-07-08 18:55:31,2015-07-08 19:03:04,1,0.88,-73.99958038330078,40.73350524902344,1,N,-74.00701141357422,40.740821838378906,1,6.5,1.0,0.5,1.66,0.0,0.3,9.96
2,2015-07-31 19:30:20,2015-07-31 19:41:47,1,1.91,-73.97374725341797,40.76070785522461,1,N,-73.98628234863281,40.77759552001953,1,9.5,1.0,0.5,1.5,0.0,0.3,12.8
2,2015-07-19 21:32:11,2015-07-19 22:02:13,1,12.11,-73.86280059814453,40.7686882019043,1,N,-73.96591186523438,40.67719650268555,2,35.5,0.5,0.5,0.0,0.0,0.3,36.8
1,2015-07-05 20:18:39,2015-07-05 20:41:59,3,10.9,-73.8626708984375,40.768856048583984,1,N,-73.97920227050781,40.77695083618164,1,31.0,0.5,0.5,6.5,5.54,0.3,44.34
1,2015-07-07 01:01:08,2015-07-07 01:12:11,1,3.5,-73.99735260009764,40.72735595703125,1,N,-73.98739624023438,40.687313079833984,1,12.5,0.5,0.5,1.0,0.0,0.3,14.8
2,2015-07-25 21:42:53,2015-07-25 21:53:43,5,0.94,-73.96959686279298,40.75969314575195,1,N,-73.98188018798828,40.764686584472656,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
2,2015-07-16 21:43:20,2015-07-16 21:55:11,1,1.81,-73.9841537475586,40.76522064208984,1,N,-73.95980834960938,40.7678108215332,1,9.5,0.5,0.5,1.6,0.0,0.3,12.4
1,2015-07-02 14:10:22,2015-07-02 14:22:24,1,2.3,-73.97648620605469,40.75926208496094,1,N,-73.99855804443358,40.734668731689446,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
2,2015-07-30 10:39:48,2015-07-30 11:00:36,5,0.75,-73.96658325195312,40.75838088989258,1,N,-73.97234344482422,40.764835357666016,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56
2,2015-07-12 17:29:52,2015-07-12 17:55:55,1,7.25,-73.95463562011719,40.819988250732415,1,N,-73.89703369140625,40.88224029541016,2,23.5,0.0,0.5,0.0,0.0,0.3,24.3
2,2015-07-24 06:06:44,2015-07-24 06:12:55,1,2.16,-73.99400329589844,40.73550033569336,1,N,-73.98219299316406,40.759864807128906,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
1,2015-07-02 20:23:04,2015-07-02 20:42:10,1,5.0,-73.95423126220702,40.764137268066406,1,N,-73.90057373046875,40.744815826416016,1,18.5,0.5,0.5,3.95,0.0,0.3,23.75
1,2015-07-18 23:27:27,2015-07-18 23:35:07,1,0.6,-74.00376892089844,40.72551727294922,1,N,-73.9942626953125,40.720123291015625,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1,2015-07-14 02:02:46,2015-07-14 02:13:45,1,2.5,-73.92545318603516,40.75217819213867,1,N,-73.88352203369139,40.750919342041016,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
2,2015-07-04 22:15:38,2015-07-04 22:23:21,1,1.12,-73.97228240966798,40.75518035888672,1,N,-73.98313903808595,40.762310028076165,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8
2,2015-07-22 07:05:30,2015-07-22 07:15:44,1,2.68,-73.96454620361328,40.79197311401367,1,N,-73.95557403564453,40.76581573486328,1,10.5,0.0,0.5,1.8,0.0,0.3,13.1
1,2015-07-22 02:14:06,2015-07-22 02:18:14,1,0.6,-73.99381256103516,40.72067260742188,1,N,-73.98758697509764,40.72126770019531,1,5.0,0.5,0.5,0.2,0.0,0.3,6.5
